spectrum_file	scan	retention_time	precursor_mz	mol_idx	mol_name	inchikey14	mol_mass	mass_error	adduct	charge	score
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2494	425.569362	566.277902877174	21	compound_22	QAEUGFDXXQMUEL	565.2707550680001	-0.00012864302607340505	[M+H]+	1	6.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2465	420.62115	566.278208390151	21	compound_22	QAEUGFDXXQMUEL	565.2707550680001	0.00017686995090571145	[M+H]+	1	5.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	998	163.09611	584.290923672725	0	compound_1	ASXBYYWOLISCLQ	583.281319752	0.0023274685249816685	[M+H]+	1	3.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2253	382.794018	578.273069421175	32	compound_33	UNOFNMWJPUOTFX	577.2707550680001	-0.0049620990250787145	[M+H]+	1	7.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2218	377.058186	578.273154586783	32	compound_33	UNOFNMWJPUOTFX	577.2707550680001	-0.004876933417108376	[M+H]+	1	8.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2204	374.665578	582.27339080427	22	compound_23	KNSKYYKZZNSXMI	581.265669688	0.00044466406995979924	[M+H]+	1	5.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2171	368.982486	582.273487867932	22	compound_23	KNSKYYKZZNSXMI	581.265669688	0.0005417277319565983	[M+H]+	1	6.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2113	358.614054	582.273556021936	22	compound_23	KNSKYYKZZNSXMI	581.265669688	0.0006098817359543318	[M+H]+	1	5.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2141	363.56877000000003	582.273817136875	22	compound_23	KNSKYYKZZNSXMI	581.265669688	0.0008709966749620435	[M+H]+	1	5.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1893	318.331704	582.274069471925	22	compound_23	KNSKYYKZZNSXMI	581.265669688	0.001123331725011667	[M+H]+	1	6.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2078	352.174854	582.274140506689	22	compound_23	KNSKYYKZZNSXMI	581.265669688	0.0011943664890168293	[M+H]+	1	7.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1787	298.61945399999996	582.275334938741	22	compound_23	KNSKYYKZZNSXMI	581.265669688	0.002388798541005599	[M+H]+	1	8.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2204	374.665578	582.27339080427	1	compound_2	UCSJYZPVAKXKNQ	581.2656696879999	0.0004446640700734861	[M+H]+	1	7.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2171	368.982486	582.273487867932	1	compound_2	UCSJYZPVAKXKNQ	581.2656696879999	0.0005417277320702851	[M+H]+	1	8.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2113	358.614054	582.273556021936	1	compound_2	UCSJYZPVAKXKNQ	581.2656696879999	0.0006098817360680187	[M+H]+	1	5.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2141	363.56877000000003	582.273817136875	1	compound_2	UCSJYZPVAKXKNQ	581.2656696879999	0.0008709966750757303	[M+H]+	1	7.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1893	318.331704	582.274069471925	1	compound_2	UCSJYZPVAKXKNQ	581.2656696879999	0.0011233317251253538	[M+H]+	1	6.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	2078	352.174854	582.274140506689	1	compound_2	UCSJYZPVAKXKNQ	581.2656696879999	0.0011943664891305161	[M+H]+	1	7.0
