spectrum_file	scan	retention_time	precursor_mz	mol_idx	mol_name	inchikey14	mol_mass	mass_error	adduct	charge	score
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1245	203.559966	337.162726549236	74	compound_75	VOMZAKGODFKARV	336.15326572800006	0.0021843690359446555	[M+H]+	1	7.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1087	177.968268	337.164294876438	74	compound_75	VOMZAKGODFKARV	336.15326572800006	0.003752696237938835	[M+H]+	1	8.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1211	198.109374	337.164878628296	74	compound_75	VOMZAKGODFKARV	336.15326572800006	0.004336448095898504	[M+H]+	1	8.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1177	192.647538	337.165034356452	74	compound_75	VOMZAKGODFKARV	336.15326572800006	0.004492176251915225	[M+H]+	1	8.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	971	158.69339399999998	337.165133534664	74	compound_75	VOMZAKGODFKARV	336.15326572800006	0.004591354463912012	[M+H]+	1	8.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	722	118.31390999999999	409.206242022566	7	compound_8	ACTKLUZDHCNOLG	408.196861856	0.002103714366000986	[M+H]+	1	1.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	876	143.45199599999998	353.159419175115	77	compound_78	BAKNMZKJEMGAOI	352.14818034800004	0.003962374914920019	[M+H]+	1	5.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1034	169.13532	353.159458457795	77	compound_78	BAKNMZKJEMGAOI	352.14818034800004	0.004001657594926655	[M+H]+	1	4.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	925	151.32144599999998	353.159887949904	77	compound_78	BAKNMZKJEMGAOI	352.14818034800004	0.004431149703918891	[M+H]+	1	5.0
/home/donghui/Documents/Seq2Sacchride_test/Seq2Saccharide/sample_input/PLT1_B8.mzML	1244	203.40709199999998	353.159954490802	77	compound_78	BAKNMZKJEMGAOI	352.14818034800004	0.004497690601965587	[M+H]+	1	5.0
